sentença,LUCIA,MORA,INTERIOR,PARANA,NUMA_MANHA_SEGUNDA,SAIU_DE_CASA,BUSCAR_EMPREGO,NA_CAPITAL,FOI_RODOVIARIA,FOI_CARONA,COM_PEDRO,ESTAVA_CHOVENDO,NAQUELA_MANHA,CARRO,PASSOU_CAIU,BURACO,PNEU_FUROU,PENSOU_ACHOU_PERDER,ONIBUS,PEGOU_TAXI,CONSEGUIU_CHEGAR_TEMPO,
lúcia mora no interior do Paraná,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
numa manhã  de segunda-feira,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ela saiu de casa para mais uma entrevista de trabalho na capital do estado,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ela foi para a rodoviária de carona com seu amigo Pedro,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0
estava chovendo  naquela manhã,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0
de repente o carro  passou por um buraco,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0
e o pneu furou,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
lúcia pensou que iria perder o ônibus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0
então ela pegou um táxi até a rodoviária,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
e conseguiu chegar a tempo,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
